,ngay,KLDichRong,GiaTriGiaoDichRong,ThayDoi,KhoiLuongMua,GiaTriMua,KhoiLuongBan,GiaTriBan,symbol  
0,26/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

1,25/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

2,22/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

3,21/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

4,20/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

5,19/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

6,18/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

7,15/04/2022,0 ,0 ,0 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

8,14/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

9,13/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

10,12/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

11,08/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

12,07/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

13,06/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

14,05/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

15,04/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

16,01/04/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

17,31/03/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

18,30/03/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

19,29/03/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

0,28/03/2022,0 ,0 ,6.2 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

