,ngay,thaydoi,solenhmua,khoiluongdatmua,KLTB1lenhmua,solenhdatban,khoiluongdatban,KLTB1lenhban,chenhlechlenhmuavaban,symbol
0,26/04/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
1,25/04/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
2,23/04/2022,0 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
3,22/04/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
4,21/04/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
5,20/04/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
6,19/04/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
7,14/04/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
8,13/04/2022,6.2 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
9,12/04/2022,6.2 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
10,08/04/2022,6.2 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
11,07/04/2022,6.2 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
12,06/04/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
13,05/04/2022,6.2 (0.00 %)   ,0 ,0 ,NaN  ,0 ,0 ,NaN  ,0,HLR
14,04/04/2022,6.2 (0.00 %)   ,1 ,0 ,0  ,0 ,0 ,NaN  ,0,HLR
15,01/04/2022,6.2 (0.00 %)   ,1 ,200 ,200  ,0 ,0 ,NaN  ,200,HLR
