,Chỉ tiêu         Trước     Sau ,Symbol
0,Kết quả kinh doanh,HLR
1,Doanh thu bán hàng và CCDV,HLR
2,Giá vốn hàng bán,HLR
3,Lợi nhuận gộp về BH và cung cấp DV,HLR
4,Lợi nhuận tài chính,HLR
5,Lợi nhuận khác,HLR
6,Tổng lợi nhuận trước thuế,HLR
7,Lợi nhuận sau thuế,HLR
8,Lợi nhuận sau thuế của công ty mẹ,HLR
9,Xem đầy đủ,HLR
10,"Lãi gộp từ HĐ SX-KD chính
Lãi gộp từ HĐ tài chính
Lãi gộp từ HĐ khác",HLR
11,Tài sản,HLR
12,Tổng tài sản lưu động ngắn hạn,HLR
13,Tổng tài sản,HLR
14,Nợ ngắn hạn,HLR
15,Tổng nợ,HLR
16,Vốn chủ sở hữu,HLR
17,Xem đầy đủ,HLR
